Id,Question,Answer,Key-Words,Location,Target
1,605 no.'lu Otobüs Hattı'nın durakları nelerdir?,"605 no'lu Otobüs Hattının durakları, ADÜ, Forum Aydın, Zafer Meydanı, Tren Garı ve Otogar'dır.","605, no, durak",,
2,605 no.'lu Otobüs Hattı'nın kalkış saatleri nelerdir?,"605 no.'lu Otobüs Hattı'nın kalkış saatleri 6.15, 9.00, 9.45, 12.05, 14.20, 16.50 ve 18.30'dur.","605, kalkış",,
3,605 no.'lu Otobüs Hattı'nın Forum Aydın'a varış süresi nedir?,605 no.'lu Otobüs Hattı'nın Forum Aydın'a varış süresi 10 dakikadır.,"605, forum, varış",,
4,605 no.'lu Otobüs Hattı'nın Zafer Meydanı'na varış süresi nedir?,605 no.'lu Otobüs Hattı'nın Zafer Meydanı'na varış süresi 25 dakikadır.,"605, zafer, varış",,
5,605 no.'lu Otobüs Hattı'nın Tren Garı'na varış süresi nedir?,605 no.'lu Otobüs Hattı'nın Tren Garı'na varış süresi 30 dakikadır.,"605, tren, varış",,
6,605 no.'lu Otobüs Hattı'nın Otogar'a varış süresi nedir?,605 no.'lu Otobüs Hattı'nın Otogar'a varış süresi 50 dakikadır.,"605, otogar, varış",,
7,605 no.'lu Otobüs Hattı'nın fiyatlandırması nedir?,605 no.'lu Otobüs Hattı'nın fiyatlandırması herkes için 2.90 TL'dir.,"605, fiyat",,
8,606 no.'lu Otobüs Hattı'nın durakları nelerdir?,"606 no'lu Otobüs Hattının durakları, Karpuzlu, Koçarlı, İncirliova, Söke ve Kuşadası'dır.","606, no, durak",,
9,606 no.'lu Otobüs Hattı'nın kalkış saatleri nelerdir?,"606 no.'lu Otobüs Hattı'nın kalkış saatleri 6.00, 8.45, 9.30, 11.50, 14.05, 16.35 ve 18.15'dir.","606, kalkış",,
10,606 no.'lu Otobüs Hattı'nın Koçarlı'ya varış süresi nedir?,606 no.'lu Otobüs Hattı'nın Koçarlı'ya varış süresi 35 dakikadır.,"606, koçarlı, varış",,
11,606 no.'lu Otobüs Hattı'nın İncirliova'ya varış süresi nedir?,606 no.'lu Otobüs Hattı'nın İncirliova'ya varış süresi 1 saat 25 dakikadır.,"606, incirliova, varış",,
12,606 no.'lu Otobüs Hattı'nın Söke'ye varış süresi nedir?,606 no.'lu Otobüs Hattı'nın Söke'ye varış süresi 1 saat 55 dakikadır.,"606, söke, varış",,
13,606 no.'lu Otobüs Hattı'nın Kuşadası'na varış süresi nedir?,606 no.'lu Otobüs Hattı'nın Kuşadası'na varış süresi 1 saat 35 dakikadır.,"606, kuşadası, varış",,
14,606 no.'lu Otobüs Hattı'nın fiyatlandırması nedir?,"606 no.'lu Otobüs Hattı'nın fiyatlandırması öğrenciler için 2.50 TL ile 4.40 TL arasında, öğrenci olmayanlarda 2.90 TL ile 4.80 TL arasında değişmektedir.","606, fiyat",,
15,607 no.'lu Otobüs Hattı'nın durakları nelerdir?,"607 no'lu Otobüs Hattının durakları, Köşk, Germencik, Efeler, Bozdoğan ve Çine'dir.","607, no, durak",,
16,607 no.'lu Otobüs Hattı'nın kalkış saatleri nelerdir?,"607 no.'lu Otobüs Hattı'nın kalkış saatleri 7.30, 10.15, 11.00, 13.20, 15.35, 18.05, 19.45'dir.","607, kalkış",,
17,607 no.'lu Otobüs Hattı'nın Germencik'e varış süresi nedir?,607 no.'lu Otobüs Hattı'nın Germencik'e varış süresi 30 dakikadır.,"607, germencik, varış",,
18,607 no.'lu Otobüs Hattı'nın Efeler'e varış süresi nedir?,607 no.'lu Otobüs Hattı'nın Efeler'e varış süresi 55 dakikadır.,"607, efeler, varış",,
19,607 no.'lu Otobüs Hattı'nın Bozdoğan'a varış süresi nedir?,607 no.'lu Otobüs Hattı'nın Bozdoğan'a varış süresi 1 saat 15 dakikadır.,"607, bozdoğan, varış",,
20,607 no.'lu Otobüs Hattı'nın Çine'ye varış süresi nedir?,607 no.'lu Otobüs Hattı'nın Çine'ye varış süresi 1 saat 35 dakikadır.,"607, çine, varış",,
21,607 no.'lu Otobüs Hattı'nın fiyatlandırması nedir?,"607 no.'lu Otobüs Hattı'nın fiyatlandırması öğrenciler için 2.60 TL ile 3.50 TL arasında, öğrenci olmayanlarda 3 TL ile 3.90 TL arasında değişmektedir.","607, fiyat",,
22,608 no.'lu Otobüs Hattı'nın durakları nelerdir?,"608 no'lu Otobüs Hattının durakları, Yeni Pazar, Nazilli, Sultan Hisar, Kuyucak ve Karasu'dur.","608, no, durak",,
